track_name,genres
Funky Duck (Live at Madison Square Garden),"['ann arbor indie', 'funk rock', 'instrumental funk']"
Aunt Leslie (Live at Madison Square Garden),"['ann arbor indie', 'funk rock', 'instrumental funk']"
Wait for the Moment (Live at Madison Square Garden),"['ann arbor indie', 'funk rock', 'instrumental funk']"
Back Pocket (Live at Madison Square Garden),"['ann arbor indie', 'funk rock', 'instrumental funk']"
Beastly (Live at Madison Square Garden),"['ann arbor indie', 'funk rock', 'instrumental funk']"
Christmas in L.A. (Live at Madison Square Garden),"['ann arbor indie', 'funk rock', 'instrumental funk']"
Dean Town (Live at Madison Square Garden),"['ann arbor indie', 'funk rock', 'instrumental funk']"
Birds of a Feather (Live at Madison Square Garden),"['ann arbor indie', 'funk rock', 'instrumental funk']"
It Gets Funkier (Live at Madison Square Garden),"['ann arbor indie', 'funk rock', 'instrumental funk']"
Autumn,['boston indie']
Half of the Way,"['ann arbor indie', 'funk rock', 'instrumental funk']"
Darwin Derby,"['ann arbor indie', 'funk rock', 'instrumental funk']"
Lonely Town,"['ann arbor indie', 'funk rock', 'instrumental funk']"
Love Is a Beautiful Thing,"['ann arbor indie', 'funk rock', 'instrumental funk']"
For Survival,"['ann arbor indie', 'funk rock', 'instrumental funk']"
Soft Parade,"['ann arbor indie', 'funk rock', 'instrumental funk']"
Lost My Treble Long Ago,"['ann arbor indie', 'funk rock', 'instrumental funk']"
Disco Ulysses (Instrumental),"['ann arbor indie', 'funk rock', 'instrumental funk']"
The Cup Stacker,"['ann arbor indie', 'funk rock', 'instrumental funk']"
It Gets Funkier IV,"['ann arbor indie', 'funk rock', 'instrumental funk']"
Strange Days (with Robbie Williams),"['glam rock', 'modern alternative rock']"
All Dressed Up (With Nowhere To Go),"['glam rock', 'modern alternative rock']"
Do You Love Me,"['glam rock', 'modern alternative rock']"
I Hate How Much I Want You (with Phil Collen & Joe Elliott of Def Leppard),"['glam rock', 'modern alternative rock']"
Wild Child (with Tom Morello),"['glam rock', 'modern alternative rock']"
Cool,"['glam rock', 'modern alternative rock']"
Burn It Down,"['glam rock', 'modern alternative rock']"
Another Hit Of Showmanship (with Albert Hammond Jr),"['glam rock', 'modern alternative rock']"
Can't Sleep,"['glam rock', 'modern alternative rock']"
Am I Talking To The Champagne (Or Talking To You),"['glam rock', 'modern alternative rock']"
Fade Into You,['indie soul']
